case_id,brand_name,brand_author_id,latest_customer_tweet_id,brand_reply_tweet_id,created_at,latest_customer_text,historical_brand_reply,conversation_context,source_tweet_ids,context_turn_count,gold_intent,gold_secondary_intent,gold_should_escalate,gold_escalation_reason,gold_reply_notes,labeler,label_version
twcs_642,AmazonHelp,AmazonHelp,643,642,Mon Oct 30 23:44:45 +0000 2017,"Bought an @115821 Echo Show and it won’t recognize a single @AmazonHelp account in our household. WTF, guys?","@115834 Oh no, I'm sorry for the issues! For troubleshooting, please check out our Echo Help pages here: https://t.co/a31c4ynHES ^SG","CUSTOMER: Bought an @115821 Echo Show and it won’t recognize a single @AmazonHelp account in our household. WTF, guys?",643|642,1,product_technical_issue,,false,,Should acknowledge the Echo Show account-recognition problem and provide or direct the customer to the supported Echo troubleshooting steps. Avoid assuming the exact technical cause or requesting passwords or other sensitive account information.,human,v1
twcs_273,AmazonHelp,AmazonHelp,271,273,Wed Nov 22 09:30:36 +0000 2017,"@AmazonHelp 電話で対応してもらいましたが改良されませんでした。
保証期間も過ぎてるので買い直しになるんでしょうね。",@115770 カスタマーサービスにてお問い合わせ済みとのことで、お手数をおかけいたしました。リプライいただきありがとうございました。ET,"CUSTOMER: amazonのfireTVstickが見れない😢
BRAND: @115770 こんにちは、アマゾン公式です。Fire TV Stickが見れないというのは、どのような状況でしょうか。一般的なトラブルシューティングを記載したヘルプがございますので、ご参照ください。https://t.co/2pbG55qJ7h ET
CUSTOMER: @AmazonHelp 電話で対応してもらいましたが改良されませんでした。
保証期間も過ぎてるので買い直しになるんでしょうね。",272|269|271|273,3,product_technical_issue,complaint_followup,true,"The Fire TV Stick issue remains unresolved after phone support, and the customer is asking whether replacement is required after the warranty expired.","Should acknowledge that the Fire TV Stick issue remains unresolved after phone support, address the available next step based on warranty/support policy, and avoid promising a replacement or asserting that the customer must purchase a new device without verification.",human,v1
twcs_275,AmazonHelp,AmazonHelp,274,275,Wed Nov 22 09:44:04 +0000 2017,@AmazonHelp こちらこそありがとうございました。,@115770 恐れ入ります。至らない点も多々あるかとは存じますが、今後ともどうぞよろしくお願いします。ET,"CUSTOMER: amazonのfireTVstickが見れない😢
BRAND: @115770 こんにちは、アマゾン公式です。Fire TV Stickが見れないというのは、どのような状況でしょうか。一般的なトラブルシューティングを記載したヘルプがございますので、ご参照ください。https://t.co/2pbG55qJ7h ET
CUSTOMER: @AmazonHelp 電話で対応してもらいましたが改良されませんでした。
保証期間も過ぎてるので買い直しになるんでしょうね。
BRAND: @115770 カスタマーサービスにてお問い合わせ済みとのことで、お手数をおかけいたしました。リプライいただきありがとうございました。ET
CUSTOMER: @AmazonHelp こちらこそありがとうございました。",272|269|271|273|274|275,5,other,,false,,"Should politely acknowledge the customer's thanks and close the conversation courteously. Avoid introducing a new issue, requesting unnecessary information, or making unsupported claims.",human,v1
twcs_324,AmazonHelp,AmazonHelp,325,324,Wed Nov 22 08:55:35 +0000 2017,amazonプライムビデオ、再生エラーが多いです,@115792 ご不便をおかけしております。アプリをご利用でしょうか。強制停止&gt;端末の再起動にて改善する場合がございますので、お試しください。改善しない場合は、状況を確認しご案内させていただきますのでこちらからカスタマーサービスまでご連絡ください。https://t.co/NtNAX2Qh2u ET,CUSTOMER: amazonプライムビデオ、再生エラーが多いです,325|324,1,product_technical_issue,,false,,"Should acknowledge the Prime Video playback errors, provide the supported troubleshooting steps such as restarting the app or device, and direct the customer to customer service if the issue persists. Avoid assuming the specific technical cause.",human,v1
twcs_625,AmazonHelp,AmazonHelp,623,625,Tue Oct 31 22:32:07 +0000 2017,"@AmazonHelp Okay, danke für die Info",@115824 Wir haben zu danken. Schönen Abend noch. ^JS,"CUSTOMER: @115825 also, beim Addams Family-Film in Prime sind Bild und Ton nicht wirklich synchron. Wie kommt's?
BRAND: @115824 Hi, wir erhalten die Filme/Serien so vom jeweiligen Studio. Gebe ich aber direkt als Feedback dorthin weiter. Gruß ^JS
CUSTOMER: @AmazonHelp Okay, danke für die Info",624|622|623|625,3,other,,false,,Should politely acknowledge the customer's thanks and close the conversation courteously. Avoid introducing a new issue or making unsupported claims.,human,v1
twcs_629,AmazonHelp,AmazonHelp,627,629,Wed Nov 01 12:50:18 +0000 2017,@AmazonHelp @115826 Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August,@115827 Thanks for your patience. ^KM,"CUSTOMER: PLAYERUNKNOWN'S BATTLEGROUNDS is now available for preorder on Xbox One consoles - https://t.co/bqLHcBDqAb https://t.co/muLIqeHq0o
CUSTOMER: @115828 How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and it’s only a week away
BRAND: @115826 I'm sorry for the wait. You'll receive an email as soon as we have an estimated delivery date. ^FJ
CUSTOMER: @AmazonHelp @115826 Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August",630|628|626|627|629,4,delivery_issue,,false,,Should acknowledge the missing shipping information and provide only a supported update or next step for the preorder's estimated delivery or shipping status. Avoid promising a specific shipping date that is not confirmed.,human,v1
twcs_631,AmazonHelp,AmazonHelp,632,631,Tue Oct 31 21:34:58 +0000 2017,"@115830 my package was ‘accidentally’ opened.. 4 items missing worth £97.
You need better delivery drivers!! https://t.co/f6SaVBSMqM",@115829 I'm sorry your order arrived in this condition! Please reach out to us for available options: https://t.co/JzP7hlA23B ^DG,"CUSTOMER: @115830 my package was ‘accidentally’ opened.. 4 items missing worth £97.
You need better delivery drivers!! https://t.co/f6SaVBSMqM",632|631,1,order_issue,,true,Package arrived opened with multiple items missing and the customer reports a potential delivery-handling issue requiring investigation.,"Should acknowledge that the package arrived opened with missing items, direct the customer to the supported process for investigating the damaged or incomplete order, and avoid promising a refund or replacement before verification.",human,v1
twcs_633,AmazonHelp,AmazonHelp,634,633,Tue Oct 31 21:39:58 +0000 2017,@115821 @AmazonHelp why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡,@115831 I'm sorry for the wait. Please reach out to us so we can take a closer look at this delivery: https://t.co/JzP7hlA23B ^SH,CUSTOMER: @115821 @AmazonHelp why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡,634|633,1,delivery_issue,,true,"The order is significantly delayed and has remained with the local courier for six days without delivery, requiring investigation of the shipment.","Should acknowledge the significant delivery delay, offer the supported next step for checking the shipment with the courier, and avoid promising a specific delivery date without confirmed tracking information.",human,v1
twcs_635,AmazonHelp,AmazonHelp,636,635,Tue Oct 31 22:05:36 +0000 2017,"Thanks for the style advice, @115833 look ...I think? #Halloween2017 #flamingo https://t.co/XvI54La043",@115832 Alexa says both styles are working for you! My vote goes to the Flamingo look! ^SE,"CUSTOMER: Thanks for the style advice, @115833 look ...I think? #Halloween2017 #flamingo https://t.co/XvI54La043",636|635,1,other,,false,,Should respond courteously to the customer's casual message and acknowledge the style conversation. Avoid introducing a support issue or making unsupported claims.,human,v1
twcs_637,AmazonHelp,AmazonHelp,638,637,Tue Oct 31 22:19:56 +0000 2017,@AmazonHelp Hi ready for some help,@115834 Were you able to reach us at the link DW provided? ^TR,"CUSTOMER: Bought an @115821 Echo Show and it won’t recognize a single @AmazonHelp account in our household. WTF, guys?
BRAND: @115834 Oh no, I'm sorry for the issues! For troubleshooting, please check out our Echo Help pages here: https://t.co/a31c4ynHES ^SG
CUSTOMER: @AmazonHelp Nothing there helped me with the Echo Show
CUSTOMER: @AmazonHelp Is the Echo Show no longer supported?
BRAND: @115834 The Echo Show is supported, please reach us for some live troubleshooting at your convenience: https://t.co/hApLpMlfHN ^DW
CUSTOMER: @AmazonHelp Hi ready for some help",643|642|641|640|639|638|637,6,product_technical_issue,complaint_followup,true,"The Echo Show issue remains unresolved after troubleshooting, and the customer is seeking further live assistance.","Should acknowledge the ongoing Echo Show issue, confirm or repeat the supported live-troubleshooting next step, and avoid claiming the device is unsupported or promising a resolution without further investigation.",human,v1
twcs_639,AmazonHelp,AmazonHelp,640,639,Tue Oct 31 01:03:01 +0000 2017,@AmazonHelp Is the Echo Show no longer supported?,"@115834 The Echo Show is supported, please reach us for some live troubleshooting at your convenience: https://t.co/hApLpMlfHN ^DW","CUSTOMER: Bought an @115821 Echo Show and it won’t recognize a single @AmazonHelp account in our household. WTF, guys?
BRAND: @115834 Oh no, I'm sorry for the issues! For troubleshooting, please check out our Echo Help pages here: https://t.co/a31c4ynHES ^SG
CUSTOMER: @AmazonHelp Nothing there helped me with the Echo Show
CUSTOMER: @AmazonHelp Is the Echo Show no longer supported?",643|642|641|640|639,4,product_technical_issue,complaint_followup,true,"The Echo Show issue remains unresolved after troubleshooting, and the customer needs confirmation and further live technical support.",Should clarify that the Echo Show is supported based on the historical reply and direct the customer to the supported live troubleshooting channel. Avoid claiming the device is unsupported or promising a technical resolution without further investigation.,human,v1
twcs_644,AmazonHelp,AmazonHelp,646,644,Tue Oct 31 21:40:30 +0000 2017,.@AmazonHelp Item has not been delivered but tracking says it was handed to me over an hour ago... 2nd time this has happened. Sort it out https://t.co/42W82GcARk,@115835 I'm so sorry you didn't receive your parcel! We'd like a chance to look into this with you here: https://t.co/JzP7hlA23B ^SY,CUSTOMER: .@AmazonHelp Item has not been delivered but tracking says it was handed to me over an hour ago... 2nd time this has happened. Sort it out https://t.co/42W82GcARk,646|644,1,package_not_received,,true,"The tracking shows the parcel was delivered to the customer, but they report not receiving it, and this has happened twice.","Should acknowledge that the tracking shows delivery but the customer did not receive the parcel, provide the supported process for investigating a missing delivered package, and avoid claiming where the parcel is or promising a refund or replacement without verification.",human,v1
twcs_647,AmazonHelp,AmazonHelp,645,647,Wed Nov 01 08:04:52 +0000 2017,@AmazonHelp That page is useless - doesn’t allow me to state it hasn’t been delivered; only tells me it has! How can you sort this out?,@115835 You can also request a call back here Martin https://t.co/zH8UlhTGcc ^KM,"CUSTOMER: .@AmazonHelp Item has not been delivered but tracking says it was handed to me over an hour ago... 2nd time this has happened. Sort it out https://t.co/42W82GcARk
BRAND: @115835 I'm so sorry you didn't receive your parcel! We'd like a chance to look into this with you here: https://t.co/JzP7hlA23B ^SY
CUSTOMER: @AmazonHelp That page is useless - doesn’t allow me to state it hasn’t been delivered; only tells me it has! How can you sort this out?",646|644|645|647,3,package_not_received,complaint_followup,true,"The package is marked as delivered but the customer still has not received it, and the available self-service page does not allow them to report the issue.","Should acknowledge that the package is marked delivered despite not being received, provide the supported callback or customer-service option for investigating the delivery, and avoid claiming where the package is or promising a refund or replacement without verification.",human,v1
twcs_648,AmazonHelp,AmazonHelp,649,648,Tue Oct 31 22:17:47 +0000 2017,"In response to your @115830 packing video, this packaging was for a 2ft washing line pole @115837 https://t.co/X21SQHgC0K",@115836 Thanks for bringing this to our attention! Please also leave packing feedback here: https://t.co/PMiShxgPvp so we may improve.^KL,"CUSTOMER: In response to your @115830 packing video, this packaging was for a 2ft washing line pole @115837 https://t.co/X21SQHgC0K",649|648,1,other,,false,,"Should acknowledge the customer's packaging feedback and direct them to the supported feedback channel if appropriate. Avoid treating the message as an order, delivery, refund, or product technical issue.",human,v1
twcs_650,AmazonHelp,AmazonHelp,652,650,Tue Oct 31 22:11:15 +0000 2017,@AmazonHelp Is it possible to prevent AMZL from delivering my packages moving forward? Stuff is either lost/stolen/broken EVERY time.,@115838 Oh no! We want to hear more about your experience with AMZL. Please provide your feedback here: https://t.co/hApLpMlfHN ^SH,CUSTOMER: @AmazonHelp Is it possible to prevent AMZL from delivering my packages moving forward? Stuff is either lost/stolen/broken EVERY time.,652|650,1,delivery_issue,complaint_followup,true,"Customer reports repeated lost, stolen, or damaged deliveries and wants to avoid the current delivery service, requiring investigation of their delivery experience.","Should acknowledge the repeated delivery problems, provide the supported way to give feedback or request assistance with delivery issues, and avoid promising that a specific carrier can be permanently blocked or changed without confirmation.",human,v1
twcs_653,AmazonHelp,AmazonHelp,651,653,Tue Oct 31 22:25:58 +0000 2017,"@AmazonHelp I don't want a form to fill out that logs a response no one reads. I want to prevent AMZL from touching my stuff. Possible, or no?","@115838 Is there a current order you're having difficulties with? Please let us know, we'd like to help! ^KL","CUSTOMER: @AmazonHelp Is it possible to prevent AMZL from delivering my packages moving forward? Stuff is either lost/stolen/broken EVERY time.
BRAND: @115838 Oh no! We want to hear more about your experience with AMZL. Please provide your feedback here: https://t.co/hApLpMlfHN ^SH
CUSTOMER: @AmazonHelp I don't want a form to fill out that logs a response no one reads. I want to prevent AMZL from touching my stuff. Possible, or no?",652|650|651|653,3,delivery_issue,complaint_followup,true,"Customer reports repeated problems with AMZL and is requesting a change to how future packages are delivered, which may require account or delivery-service investigation.","Should acknowledge the repeated AMZL delivery concerns, address whether any supported delivery preference or alternative is available, and avoid promising that AMZL can be permanently excluded without confirmation.",human,v1
twcs_655,AmazonHelp,AmazonHelp,654,655,Tue Oct 31 22:53:50 +0000 2017,@AmazonHelp Already started the return. UPS gets it from my doorstep tomorrow. Order 111-5014070-4118645,@115838 Provide your details here: https://t.co/6f6cWZv7vm and my team will escalate the order to Amazon Logistics for feedback. ^EZ,"CUSTOMER: @AmazonHelp Is it possible to prevent AMZL from delivering my packages moving forward? Stuff is either lost/stolen/broken EVERY time.
BRAND: @115838 Oh no! We want to hear more about your experience with AMZL. Please provide your feedback here: https://t.co/hApLpMlfHN ^SH
CUSTOMER: @AmazonHelp I don't want a form to fill out that logs a response no one reads. I want to prevent AMZL from touching my stuff. Possible, or no?
BRAND: @115838 Is there a current order you're having difficulties with? Please let us know, we'd like to help! ^KL
CUSTOMER: @AmazonHelp Already started the return. UPS gets it from my doorstep tomorrow. Order 111-5014070-4118645",652|650|651|653|654|655,5,return_cancellation,order_issue,false,,"Should acknowledge that the return has already been initiated and that UPS is scheduled to collect it, and provide only supported next steps for the return. Avoid promising a refund date or return outcome without confirmation.",human,v1
twcs_656,AmazonHelp,AmazonHelp,657,656,Tue Oct 31 22:18:42 +0000 2017,"@AmazonHelp Already handled, just venting. It was a pretty big bummer.",@115839 Let us know if there’s anything else we can do for you! We're happy to help out any way we can! ^FR,"CUSTOMER: @115821, it’d be nice if the book I waited 4 months for wasn’t damaged inside of an undented box. #twinpeaks #twin… https://t.co/Lac4K7iQzJ https://t.co/JroqJKrH9Q
BRAND: @115839 I'm sorry your book arrived this way! You can find replacement/refund options here: https://t.co/zRrkpVcaDF ^VS
CUSTOMER: @AmazonHelp Already handled, just venting. It was a pretty big bummer.",659|658|657|656,3,complaint_followup,order_issue,false,,"Should acknowledge the customer's frustration and recognize that the issue has already been handled. Avoid reopening the case, inventing a new resolution, or making unsupported refund/replacement promises.",human,v1
twcs_658,AmazonHelp,AmazonHelp,659,658,Tue Oct 31 22:02:14 +0000 2017,"@115821, it’d be nice if the book I waited 4 months for wasn’t damaged inside of an undented box. #twinpeaks #twin… https://t.co/Lac4K7iQzJ https://t.co/JroqJKrH9Q",@115839 I'm sorry your book arrived this way! You can find replacement/refund options here: https://t.co/zRrkpVcaDF ^VS,"CUSTOMER: @115821, it’d be nice if the book I waited 4 months for wasn’t damaged inside of an undented box. #twinpeaks #twin… https://t.co/Lac4K7iQzJ https://t.co/JroqJKrH9Q",659|658,1,order_issue,return_cancellation,false,,Should acknowledge that the book arrived damaged and provide the supported replacement or refund options shown in the historical response. Avoid promising a specific refund or replacement outcome before eligibility is confirmed.,human,v1
twcs_660,AmazonHelp,AmazonHelp,661,660,Tue Oct 31 22:13:37 +0000 2017,@115841 @115821 Feliz #Halloween2017 https://t.co/edHbRDnM8x,@115840 ¡Que lindoooooooooo! 😍🐶🎃 ^JJ https://t.co/YSOVnjaPrO,"CUSTOMER: CONCURSO 👻🎃:Tarjetas regalo en @115821 por tu foto en la cama disfrazado y #ColchonMorfeoHalloween en los post promo:https://t.co/xAsY6KwLZa https://t.co/7yOZvlwBwN
CUSTOMER: @115841 @115821 Feliz #Halloween2017 https://t.co/edHbRDnM8x",662|661|660,2,other,,false,,"Should respond courteously to the casual Halloween greeting if responding at all. Avoid treating it as an order, delivery, refund, account, or technical support issue.",human,v1
twcs_663,AmazonHelp,AmazonHelp,664,663,Tue Oct 31 21:50:49 +0000 2017,"@AmazonHelp delivery I paid for today,didn’t arrive.why not?i paid enough for it.where is it??I’m unhappy.refund the delivery charge","@115842 Oh no! Please contact us via phone/chat here: https://t.co/JzP7hlA23B
We're unable to view order details via Twitter. ^KL","CUSTOMER: @AmazonHelp delivery I paid for today,didn’t arrive.why not?i paid enough for it.where is it??I’m unhappy.refund the delivery charge",664|663,1,delivery_issue,refund_payment,true,"Customer reports a paid delivery did not arrive as expected and is requesting a refund of the delivery charge, requiring order-specific investigation.","Should acknowledge the missed paid delivery and direct the customer to phone or chat for order-specific assistance, as the historical reply states that order details cannot be viewed via Twitter. Avoid promising a delivery-charge refund without verification.",human,v1
twcs_665,AmazonHelp,AmazonHelp,667,665,Tue Oct 31 22:11:10 +0000 2017,"Anna Inspired in idea lab at school to be @115821 package being shipped to Narnia! ""Amazon can go anywhere"" according to Anna. https://t.co/TyvKhuu7su",@115843 You're not lion! She even shows witch way is up! That's quite the wardrobe! ^AC,"CUSTOMER: Anna Inspired in idea lab at school to be @115821 package being shipped to Narnia! ""Amazon can go anywhere"" according to Anna. https://t.co/TyvKhuu7su",667|665,1,other,,false,,Should respond courteously to the playful/social message if responding at all. Avoid treating the message as an actual order or delivery problem.,human,v1
twcs_668,AmazonHelp,AmazonHelp,670,668,Tue Oct 31 22:15:42 +0000 2017,@115845 They sent the feckin' order to Germany! Some dozy driver is looking for an address in the wrong country! I'm so done with Amazon!,@115844 Oh my! I'm sorry for the troubles! Contact us by Phone or Chat: https://t.co/JzP7hlA23B &amp; we'll be glad to help! ^FR,"CUSTOMER: I'm NEVER using Amazon again! After waiting in all day as item is ""out for delivery"", they've only gone and sent it to the WRONG COUNTRY!
CUSTOMER: @115844 WHAT IN THE WORLD?!
CUSTOMER: @115845 They sent the feckin' order to Germany! Some dozy driver is looking for an address in the wrong country! I'm so done with Amazon!",672|671|670|668,3,delivery_issue,complaint_followup,true,"Customer reports that their order was sent to the wrong country and expresses significant frustration, requiring order-specific investigation and assistance.","Should acknowledge the incorrect delivery destination and the customer's frustration, and direct them to phone or chat for order-specific assistance as supported by the historical reply. Avoid promising a specific delivery correction, refund, or replacement without verification.",human,v1
twcs_675,AmazonHelp,AmazonHelp,676,675,Tue Oct 31 21:39:25 +0000 2017,@115847 @115821 Yeah idk the shipping company and it says “mike Ziemer” signed for it in the mail room at our building lol,@115846 That's okay! Thanks for checking! Please contact us by phone or chat and we can look into this: https://t.co/hApLpMlfHN ^BN,"CUSTOMER: My package from @115821 with my Halloween costume was “delivered” Friday but I don’t have I so searching everywhere for a last minute idea.
CUSTOMER: @115846 @115821 Remember my head phones and they brought them within minutes
CUSTOMER: @115847 @115821 Yeah idk the shipping company and it says “mike Ziemer” signed for it in the mail room at our building lol",678|677|676|675,3,package_not_received,delivery_issue,true,"Customer reports that the package was marked delivered and signed for by someone else, but they have not received it, requiring order-specific investigation.","Should acknowledge that the package is marked delivered but was not received by the customer, and direct them to phone or chat for investigation as supported by the historical reply. Avoid assuming who received the package or promising a refund or replacement without verification.",human,v1
twcs_680,AmazonHelp,AmazonHelp,681,680,Tue Oct 31 22:11:34 +0000 2017,@115821  https://t.co/Gb0beuA3IN,@115848 I'm sorry for the trouble this has caused you; please contact us so we may lend you a hand: https://t.co/hApLpMlfHN ^WM,"CUSTOMER: How @115821 packages china https://t.co/fO9vbus18E
CUSTOMER: @115821  https://t.co/Gb0beuA3IN",682|681|680,2,other,,false,,"Should acknowledge the message and ask the customer to provide more details about the issue, without assuming whether it concerns an order, delivery, or another problem.",human,v1
